VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
3048, 13968, -10.25363,  0.86632,  1.45181,  0.58378,  0.42648,  0.69088,  0.51111,  0.58218,  0.51111,  0.58218
3049, 2085, -9.41574,  1.1462,  0.57104,  0.58378,  0.42648,  0.69088,  0.61116,  0.57703,  0.61116,  0.57703
3050, 13969, -10.89788,  4.10002,  0.00,  0.58378,  0.42648,  0.69088,  0.61116,  0.29425,  0.61116,  0.29425
3051, 13970, -9.41574,  1.1462,  0.57104,  0.89635,  0.42608, -0.12252,  0.4105,  0.22445,  0.4105,  0.22445
3052, 2086, -9.44606,  0.86054, -0.64424,  0.89635,  0.42608, -0.12252,  0.47883,  0.2858,  0.47883,  0.2858
3053, 13971, -10.89788,  4.10002,  0.00,  0.89635,  0.42608, -0.12252,  0.58013,  0.00,  0.58013,  0.00
3054, 13972, -9.44606,  0.86054, -0.64424,  0.69226,  0.42608, -0.58244,  0.47883,  0.2858,  0.47883,  0.2858
3055, 2087, -10.32684,  1.1462, -1.48213,  0.69226,  0.42608, -0.58244,  0.58013,  0.2843,  0.58013,  0.2843
3056, 13973, -10.89788,  4.10002,  0.00,  0.69226,  0.42608, -0.58244,  0.58013,  0.00,  0.58013,  0.00
3057, 13974, -10.32684,  1.1462, -1.48213, -0.13526,  0.42334, -0.89582,  0.17167,  0.25577,  0.17167,  0.25577
3058, 13975, -11.54212,  0.82209, -1.45181, -0.13526,  0.42334, -0.89582,  0.07066,  0.25095,  0.07066,  0.25095
3059, 13976, -10.89788,  4.10002,  0.00, -0.13526,  0.42334, -0.89582,  0.17167,  0.5419,  0.17167,  0.5419
3060, 13977, -11.54212,  0.82209, -1.45181,  0.01691, -0.99986,  0.00011,  0.00009,  0.17729,  0.00009,  0.17729
3061, 13978, -10.32684,  1.1462, -1.48213,  0.01691, -0.99986,  0.00011,  0.07011,  0.25095,  0.07011,  0.25095
3062, 13979, -9.44606,  0.86054, -0.64424,  0.01691, -0.99986,  0.00011,  0.16919,  0.25065,  0.16919,  0.25065
3063, 13979, -9.44606,  0.86054, -0.64424,  0.01691, -0.99986,  0.00011,  0.16919,  0.25065,  0.16919,  0.25065
3064, 13980, -12.38001,  1.1462, -0.57104,  0.01691, -0.99986,  0.00011,  0.00,  0.07378,  0.00,  0.07378
3065, 13977, -11.54212,  0.82209, -1.45181,  0.01691, -0.99986,  0.00011,  0.00009,  0.17729,  0.00009,  0.17729
3066, 13979, -9.44606,  0.86054, -0.64424,  0.01691, -0.99986,  0.00011,  0.16919,  0.25065,  0.16919,  0.25065
3067, 13981, -9.41574,  1.1462,  0.57104,  0.01691, -0.99986,  0.00011,  0.23915,  0.17748,  0.23915,  0.17748
3068, 13980, -12.38001,  1.1462, -0.57104,  0.01691, -0.99986,  0.00011,  0.00,  0.07378,  0.00,  0.07378
3069, 13981, -9.41574,  1.1462,  0.57104,  0.01691, -0.99986,  0.00011,  0.23915,  0.17748,  0.23915,  0.17748
3070, 13982, -12.34968,  0.76265,  0.64424,  0.01691, -0.99986,  0.00011,  0.07006,  0.00,  0.07006,  0.00
3071, 13980, -12.38001,  1.1462, -0.57104,  0.01691, -0.99986,  0.00011,  0.00,  0.07378,  0.00,  0.07378
3072, 13981, -9.41574,  1.1462,  0.57104,  0.01691, -0.99986,  0.00011,  0.23915,  0.17748,  0.23915,  0.17748
3073, 13983, -10.25363,  0.86632,  1.45181,  0.01691, -0.99986,  0.00011,  0.23915,  0.07342,  0.23915,  0.07342
3074, 13982, -12.34968,  0.76265,  0.64424,  0.01691, -0.99986,  0.00011,  0.07006,  0.00,  0.07006,  0.00
3075, 13983, -10.25363,  0.86632,  1.45181,  0.01691, -0.99986,  0.00011,  0.23915,  0.07342,  0.23915,  0.07342
3076, 13984, -11.46891,  1.1462,  1.48213,  0.01691, -0.99986,  0.00011,  0.16904,  0.0003,  0.16904,  0.0003
3077, 13982, -12.34968,  0.76265,  0.64424,  0.01691, -0.99986,  0.00011,  0.07006,  0.00,  0.07006,  0.00
3078, 2089, -10.33905,  2.60437, -1.32508, -0.15995,  0.43032, -0.88839,  0.39412,  0.53457,  0.39412,  0.53457
3079, 2090, -11.4397,  2.18073, -1.33213, -0.15995,  0.43032, -0.88839,  0.29986,  0.52167,  0.29986,  0.52167
3080, 2097, -10.89788,  5.13225,  0.00, -0.15995,  0.43032, -0.88839,  0.39412,  0.78258,  0.39412,  0.78258
3081, 13985, -11.4397,  2.18073, -1.33213, -0.50556,  0.43032, -0.74782,  0.29986,  0.52167,  0.29986,  0.52167
3082, 2091, -12.22296,  2.60437, -0.55883, -0.50556,  0.43032, -0.74782,  0.23915,  0.5947,  0.23915,  0.5947
3083, 13986, -10.89788,  5.13225,  0.00, -0.50556,  0.43032, -0.74782,  0.39412,  0.78258,  0.39412,  0.78258
3084, 13987, -12.22296,  2.60437, -0.55883, -0.88421,  0.41695,  0.21053,  0.58013,  0.18887,  0.58013,  0.18887
3085, 2092, -12.23,  2.03367,  0.54183, -0.88421,  0.41695,  0.21053,  0.63575,  0.27104,  0.63575,  0.27104
3086, 13988, -10.89788,  5.13225,  0.00, -0.88421,  0.41695,  0.21053,  0.73399,  0.00,  0.73399,  0.00
3087, 13989, -12.23,  2.03367,  0.54183, -0.78013,  0.41695,  0.46642,  0.63575,  0.27104,  0.63575,  0.27104
3088, 2093, -11.4567,  2.60437,  1.32508, -0.78013,  0.41695,  0.46642,  0.73399,  0.24679,  0.73399,  0.24679
3089, 13990, -10.89788,  5.13225,  0.00, -0.78013,  0.41695,  0.46642,  0.73399,  0.00,  0.73399,  0.00
3090, 13991, -11.4567,  2.60437,  1.32508,  0.16904,  0.42802,  0.88782,  0.61116,  0.49228,  0.61116,  0.49228
3091, 2094, -10.35605,  2.15506,  1.33213,  0.16904,  0.42802,  0.88782,  0.65753,  0.55873,  0.65753,  0.55873
3092, 13992, -10.89788,  5.13225,  0.00,  0.16904,  0.42802,  0.88782,  0.74954,  0.29425,  0.74954,  0.29425
3093, 13993, -10.35605,  2.15506,  1.33213,  0.49865,  0.42802,  0.75376,  0.65753,  0.55873,  0.65753,  0.55873
3094, 2095, -9.57279,  2.60437,  0.55883,  0.49865,  0.42802,  0.75376,  0.74954,  0.53832,  0.74954,  0.53832
